國家/地區,點擊,曝光,點閱率,排名
美國,4,406,0.99%,27.8
台灣,2,82,2.44%,26.78
加拿大,1,68,1.47%,15.99
越南,1,36,2.78%,38.47
法國,1,22,4.55%,32.36
西班牙,1,18,5.56%,33.17
英國,0,34,0%,31.03
德國,0,21,0%,32.71
巴西,0,11,0%,19.36
墨西哥,0,11,0%,46.64
澳洲,0,9,0%,18.67
菲律賓,0,9,0%,59.11
印尼,0,8,0%,44.38
馬來西亞,0,7,0%,47.29
印度,0,7,0%,79
荷蘭,0,6,0%,18.5
日本,0,5,0%,4.8
巴基斯坦,0,5,0%,31.8
泰國,0,5,0%,35.6
俄羅斯,0,4,0%,33.75
摩洛哥,0,4,0%,46.25
土耳其,0,4,0%,61
中國,0,3,0%,1
烏克蘭,0,3,0%,32.67
孟加拉,0,3,0%,50.33
阿爾及利亞,0,3,0%,59
以色列,0,2,0%,4.5
羅馬尼亞,0,2,0%,5
新加坡,0,2,0%,7
南韓,0,2,0%,9.5
奈及利亞,0,2,0%,9.5
比利時,0,2,0%,12
阿根廷,0,2,0%,26
義大利,0,2,0%,38
約旦,0,2,0%,63.5
瑞士,0,1,0%,1
玻利維亞,0,1,0%,2
捷克,0,1,0%,2
秘魯,0,1,0%,2
匈牙利,0,1,0%,3
阿拉伯聯合大公國,0,1,0%,5
厄瓜多,0,1,0%,5
巴布亞紐幾內亞,0,1,0%,5
亞美尼亞,0,1,0%,7
貝南,0,1,0%,8
希臘,0,1,0%,8
盧森堡,0,1,0%,8
斯洛維尼亞,0,1,0%,8
哥倫比亞,0,1,0%,9
哥斯大黎加,0,1,0%,9
尚比亞,0,1,0%,9
巴貝多,0,1,0%,10
瓜地洛普,0,1,0%,10
卡達,0,1,0%,10
瑞典,0,1,0%,10
奧地利,0,1,0%,12
埃及,0,1,0%,12
沙烏地阿拉伯,0,1,0%,32
紐西蘭,0,1,0%,53
香港,0,1,0%,70
