日期,點擊,曝光,點閱率,排名
2026-07-02,0,0,,
2026-07-03,0,0,,
2026-07-04,0,1,0%,67
2026-07-05,0,11,0%,38.8
2026-07-06,1,14,7.14%,23.6
2026-07-07,0,11,0%,18.4
2026-07-08,0,8,0%,24.4
2026-07-09,0,21,0%,21.8
2026-07-10,0,24,0%,23.9
2026-07-11,0,46,0%,16.7
2026-07-12,1,37,2.7%,16.5
2026-07-13,1,28,3.57%,18.1
2026-07-14,0,35,0%,33.2
2026-07-15,1,23,4.35%,20.4
2026-07-16,0,28,0%,27.4
2026-07-17,0,16,0%,25.9
2026-07-18,0,30,0%,13.4
2026-07-19,0,21,0%,21.9
2026-07-20,1,28,3.57%,16.4
2026-07-21,0,33,0%,15.8
2026-07-22,0,59,0%,15.1
2026-07-23,1,80,1.25%,16.5
2026-07-24,1,87,1.15%,29
2026-07-25,0,3,0%,14.7
2026-07-26,0,3,0%,14
2026-07-27,0,10,0%,29.9
2026-07-28,0,2,0%,1
2026-07-29,0,1,0%,83
2026-07-30,0,3,0%,83.3
2026-07-31,0,5,0%,47
2026-08-01,0,4,0%,47.8
2026-08-02,0,9,0%,49.6
2026-08-03,0,4,0%,88.5
2026-08-04,0,3,0%,95.3
2026-08-05,0,4,0%,29.5
2026-08-06,0,6,0%,75
2026-08-07,0,0,,
2026-08-08,0,1,0%,89
2026-08-09,0,2,0%,2.5
2026-08-10,0,2,0%,48.5
2026-08-11,0,7,0%,54.9
2026-08-12,0,6,0%,74.2
2026-08-13,0,8,0%,86.5
2026-08-14,0,3,0%,88.7
2026-08-15,0,9,0%,66.8
2026-08-16,0,5,0%,79
2026-08-17,0,3,0%,44.3
2026-08-18,0,6,0%,82
2026-08-19,0,5,0%,20.8
2026-08-20,0,8,0%,48.1
2026-08-21,0,5,0%,80.2
2026-08-22,0,3,0%,97.3
2026-08-23,0,3,0%,86
2026-08-24,0,3,0%,89.7
2026-08-25,1,6,16.67%,64
2026-08-26,1,3,33.33%,52.7
2026-08-27,0,2,0%,90.5
2026-08-28,0,1,0%,1
2026-08-29,0,5,0%,54.8
2026-08-30,0,5,0%,37.4
2026-08-31,0,0,,
2026-09-01,0,0,,
2026-09-02,0,1,0%,1
2026-09-03,0,6,0%,32.2
2026-09-04,1,3,33.33%,5.3
2026-09-05,0,1,0%,9
2026-09-06,0,1,0%,36
2026-09-07,0,1,0%,2
2026-09-08,0,4,0%,4.5
2026-09-09,0,4,0%,66.5
2026-09-10,0,2,0%,91.5
2026-09-11,0,3,0%,7.7
2026-09-12,0,2,0%,9
2026-09-13,0,1,0%,11
2026-09-14,0,0,,
2026-09-15,0,4,0%,6.8
2026-09-16,0,0,,
2026-09-17,0,2,0%,72.5
2026-09-18,0,2,0%,9.5
2026-09-19,0,0,,
2026-09-20,0,0,,
2026-09-21,0,1,0%,4
2026-09-22,0,0,,
2026-09-23,0,0,,
