url,action,target,reason,gsc_impressions_3m,locale,route_type
https://worthcalc.win/,keep,,規則3：首頁／法務／索引／topic-hub 結構頁；coverageState=已提交並建立索引；90d_impressions=116,116,en,home
https://worthcalc.win/ar/guides/3d-printer-electricity-cost-per-print-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/3d-scanner-electricity-cost-per-scanning-session-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/air-fryer-cost-per-cooking-cycle-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/air-purifier-cost-per-clean-air-hour-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/annual-cost-savings-calculator/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/aquarium-air-pump-electricity-cost-per-filtration-day-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/aquarium-heater-electricity-cost-per-tank-day-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/attic-fan-electricity-cost-per-ventilation-hour-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/bathroom-ventilation-fan-electricity-cost-per-shower-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/billing-date-cash-flow-overlap/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/blender-cost-per-blending-session-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/bread-maker-cost-per-loaf-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/ceiling-fan-cost-per-operating-hour-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/ceiling-fan-electricity-cost-per-cooling-hour-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/childcare-cost-per-hour-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/clothes-dryer-cost-per-load-used/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
https://worthcalc.win/ar/guides/cloud-storage-cost-per-retained-gb/,deindex,,規則4：locale=ar 全部軟下架；coverageState=Google 無法辨識的網址；90d_impressions=無資料,無資料,ar,guide
