cluster_id,locale,page_type,url_a,url_b,similarity,exact_duplicate,decision
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/ar/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,0.8717,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/ar/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8728,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/ar/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8634,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,0.8765,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/ar/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8772,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/ar/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8843,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/ar/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8613,false,HUMAN_REVIEW_REQUIRED
similarity-/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,ar,guide,/ar/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/ar/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8680,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/en/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,0.9263,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/en/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8754,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/en/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.9199,false,HUMAN_REVIEW_REQUIRED
