url,t0_status,t_plus_3_status,t_plus_7_status,transition_category
https://worthcalc.win/,Submitted and indexed,Submitted and indexed,Submitted and indexed,indexed_to_indexed
https://worthcalc.win/en/tools/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/zh/tools/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/en/guides/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/zh/guides/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/en/topics/transportation/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/zh/topics/transportation/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/en/tools/commute-cost/,Submitted and indexed,Submitted and indexed,Submitted and indexed,indexed_to_indexed
https://worthcalc.win/zh/tools/commute-cost/,Submitted and indexed,Submitted and indexed,Submitted and indexed,indexed_to_indexed
https://worthcalc.win/en/tools/budget-builder/,Submitted and indexed,Submitted and indexed,Submitted and indexed,indexed_to_indexed
https://worthcalc.win/zh/tools/budget-builder/,Submitted and indexed,Submitted and indexed,Submitted and indexed,indexed_to_indexed
https://worthcalc.win/en/guides/car-loan-60-vs-72-vs-84-early-exit/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/en/guides/annual-bills-monthly-equivalent/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/zh/guides/annual-expenses-monthly-equivalent/,URL is unknown to Google,URL is unknown to Google,URL is unknown to Google,unknown_to_unknown
https://worthcalc.win/en/true-hourly-wage-after-commuting-work-expenses/,Submitted and indexed,Submitted and indexed,Submitted and indexed,indexed_to_indexed
