family,locale,total_production,known_google,indexed,discovered_not_indexed,crawled_not_indexed,excluded
all,all,1229,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,en,19,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,zh,19,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,es,18,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,fr,18,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,de,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,en,196,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,zh,236,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,es,156,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,fr,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,de,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,en,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,zh,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,es,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,fr,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,de,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,en,63,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,zh,68,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,es,48,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,fr,48,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,de,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,ar,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
tools,hi,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,ar,155,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
guides,hi,155,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,ar,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
topics,hi,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,ar,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
other,hi,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
